booking_id,tourist_id,guide_id,destination_id,booking_date,tour_date,num_tourists,tour_duration_hours,total_price_inr,payment_status,booking_channel,tour_type,language,rating,review_sentiment,cancelled
BK001,T101,G01,D01,2024-01-03,2024-01-10,4,6,4800,Paid,Online,Heritage Walk,English,5,Positive,No
BK002,T102,G02,D02,2024-01-04,2024-01-12,2,8,3200,Paid,Agent,Nature Trek,Hindi,4,Positive,No
BK003,T103,G03,D03,2024-01-05,2024-01-11,6,4,7200,Paid,Online,Adventure,English,3,Neutral,No
BK004,T104,G01,D01,2024-01-06,2024-01-15,3,6,3600,Pending,Direct,Heritage Walk,English,NULL,NULL,No
BK005,T105,G04,D04,2024-01-07,2024-01-13,5,10,12500,Paid,Online,Wildlife Safari,English,5,Positive,No
BK006,T106,G05,D05,2024-01-08,2024-01-14,2,5,2400,Paid,Agent,Beach Tour,Hindi,4,Positive,No
BK007,T107,G02,D02,2024-01-09,2024-01-16,7,8,11200,Paid,Online,Nature Trek,English,2,Negative,No
BK008,T108,G06,D06,2024-01-10,2024-01-18,3,7,6300,Refunded,Direct,Cultural Tour,Bengali,NULL,NULL,Yes
BK009,T109,G03,D03,2024-01-11,2024-01-17,4,4,4800,Paid,Online,Adventure,English,5,Positive,No
BK010,T110,G07,D07,2024-01-12,2024-01-19,2,12,9600,Paid,Agent,Pilgrimage Tour,Hindi,4,Positive,No
BK011,T111,G01,D01,2024-01-15,2024-01-22,5,6,6000,Paid,Online,Heritage Walk,English,5,Positive,No
BK012,T112,G08,D08,2024-01-16,2024-01-24,3,9,8100,Paid,Online,Hill Station Tour,English,3,Neutral,No
BK013,T113,G04,D04,2024-01-17,2024-01-25,8,10,20000,Paid,Agent,Wildlife Safari,English,5,Positive,No
BK014,T114,G09,D09,2024-01-18,2024-01-26,2,6,3600,Pending,Direct,Desert Tour,Hindi,NULL,NULL,No
BK015,T115,G05,D05,2024-01-19,2024-01-27,4,5,4800,Paid,Online,Beach Tour,English,4,Positive,No
BK016,T116,G10,D10,2024-01-20,2024-01-28,6,8,14400,Paid,Online,Backwater Tour,English,5,Positive,No
BK017,T117,G02,D02,2024-01-22,2024-01-29,3,8,4800,Paid,Agent,Nature Trek,Hindi,3,Neutral,No
BK018,T118,G06,D06,2024-01-23,2024-01-30,5,7,10500,Paid,Online,Cultural Tour,English,4,Positive,No
BK019,T119,G07,D07,2024-01-24,2024-02-01,2,12,9600,Refunded,Direct,Pilgrimage Tour,Hindi,NULL,NULL,Yes
BK020,T120,G03,D03,2024-01-25,2024-02-03,6,4,7200,Paid,Online,Adventure,English,4,Positive,No
BK021,T121,G01,D01,2024-02-01,2024-02-08,4,6,4800,Paid,Online,Heritage Walk,English,5,Positive,No
BK022,T122,G11,D11,2024-02-02,2024-02-10,3,5,5400,Paid,Agent,City Tour,Hindi,4,Positive,No
